name,pID,height,weight,birthYr,firstSeasonID
Mike Batiste,batismi01,80,225,1977,2003
Shane Battier,battish01,80,220,1978,2002
Tony Battie,battito01,83,230,1976,1998
John Battle,battljo01,74,175,1962,1986
Kenny Battle,battlke01,78,210,1964,1990
Nicolas Batum,batumni01,80,230,1988,2009
Lonny Baxter,baxtelo01,80,260,1979,2003
Jerryd Bayless,bayleje01,75,200,1988,2009
Aron Baynes,baynear01,82,260,1986,2013
Sergei Bazarevich,bazarse01,74,168,1965,1995
Kent Bazemore,bazemke01,76,195,1989,2013
Darius Bazley,bazleda01,80,208,2000,2020
Bradley Beal,bealbr01,76,207,1993,2013
Jerome Beasley,beaslje01,82,237,1980,2004
Malik Beasley,beaslma01,76,187,1996,2017
Michael Beasley,beaslmi01,81,235,1989,2009
Rodrigue Beaubois,beaubro01,72,170,1988,2010
Corey Beck,beckco01,73,190,1971,1996
William Bedford,bedfowi01,84,225,1963,1987
Marco Belinelli,belinma01,77,220,1986,2008
Charlie Bell,bellch01,75,200,1979,2002
Jordan Bell,belljo01,80,216,1995,2018
Raja Bell,bellra01,77,204,1976,2001
Troy Bell,belltr01,73,180,1980,2004
DeAndre' Bembry,bembrde01,77,210,1994,2017
Dragan Bender,bendedr01,84,225,1997,2017
Jonathan Bender,bendejo01,83,202,1981,2000
Jerrelle Benimon,benimje01,80,245,1991,2015
Benoit Benjamin,benjabe01,84,250,1964,1986
Corey Benjamin,benjaco01,78,200,1978,1999
Anthony Bennett,bennean01,80,245,1993,2014
Elmer Bennett,benneel01,72,170,1970,1995
Mario Bennett,bennema01,78,235,1973,1996
Tony Bennett,benneto01,72,175,1969,1993
Winston Bennett,bennewi01,79,210,1965,1990
David Benoit,benoida01,80,220,1968,1992
Keith Benson,bensoke02,83,240,1988,2012
Ben Bentil,bentibe01,81,235,1995,2017
Dāvis Bertāns,bertada01,82,225,1992,2017
Dairis Bertāns,bertada02,76,200,1989,2019
Travis Best,besttr01,71,182,1972,1996
Patrick Beverley,beverpa01,73,180,1988,2013
Saddiq Bey,beysa01,79,215,1999,2021
Tyler Bey,beyty01,79,215,1998,2021
Sim Bhullar,bhullsi01,89,360,1992,2015
Mike Bibby,bibbymi01,73,190,1978,1999
Andris Biedriņš,biedran01,83,240,1986,2005
Chauncey Billups,billuch01,75,202,1976,1998
Khem Birch,birchkh01,81,233,1992,2018
Jabari Bird,birdja01,78,198,1994,2018
Larry Bird,birdla01,81,220,1956,1980
Goga Bitadze,bitadgo01,83,250,1999,2020
Bismack Biyombo,biyombi01,80,255,1992,2012
Nemanja Bjelica,bjeline01,82,234,1988,2016
Uwe Blab,blabuw01,85,252,1962,1986
Alex Blackwell,blackal01,78,250,1970,1993
James Blackwell,blackja01,72,190,1968,1995
Rolando Blackman,blackro01,78,190,1959,1982
Tarik Black,blackta01,81,250,1991,2015
DeJuan Blair,blairde01,79,270,1989,2010
Antonio Blakeney,blakean01,76,192,1996,2018
Steve Blake,blakest01,75,172,1980,2004
Will Blalock,blalowi01,72,205,1983,2007
Lance Blanks,blankla01,76,190,1966,1991
Ricky Blanton,blantri01,79,215,1966,1993
Andray Blatche,blatcan01,83,235,1986,2006
Mookie Blaylock,blaylmo01,72,180,1967,1990
Eric Bledsoe,bledser01,73,214,1989,2011
Keljin Blevins,blevike01,76,200,1995,2021
Jaron Blossomgame,blossja01,80,220,1993,2019
Corie Blount,blounco01,81,240,1969,1994
Mark Blount,blounma01,84,230,1975,2001
Vander Blue,blueva01,76,200,1992,2014
Tony Bobbitt,bobbito01,76,190,1979,2005
Keith Bogans,boganke01,77,215,1980,2004
Bogdan Bogdanović,bogdabo01,78,220,1992,2018
Bojan Bogdanović,bogdabo02,79,226,1989,2015
Muggsy Bogues,boguemu01,63,136,1965,1988
Andrew Bogut,bogutan01,84,260,1984,2006
Etdrick Bohannon,bohanet01,81,220,1973,1998
Bol Bol,bolbo01,86,220,1999,2020
Jonah Bolden,boldejo01,80,220,1996,2019
Marques Bolden,boldema01,82,249,1998,2020
Manute Bol,bolma01,91,200,1962,1986
Leandro Bolmaro,bolmale01,78,200,2000,2022
Joel Bolomboy,bolomjo01,81,235,1994,2017
Walter Bond,bondwa01,77,200,1969,1993
Jordan Bone,bonejo01,74,180,1997,2020
Dexter Boney,boneyde01,76,185,1970,1997
Isaac Bonga,bongais01,80,180,1999,2019
Anthony Bonner,bonnean01,80,215,1968,1991
Matt Bonner,bonnema01,82,235,1980,2005
Devin Booker,bookede01,77,206,1996,2016
Melvin Booker,bookeme01,73,185,1972,1996
Trevor Booker,booketr01,80,228,1987,2011
Josh Boone,boonejo01,82,237,1984,2007
Calvin Booth,boothca01,83,230,1976,2000
Keith Booth,boothke01,78,226,1974,1998
Carlos Boozer,boozeca01,81,258,1981,2003
Curtis Borchardt,borchcu01,84,240,1980,2004
Lazaro Borrell,borrela01,80,220,1972,2000
Chris Bosh,boshch01,83,235,1984,2004
Brandon Boston Jr.,bostobr01,79,185,2001,2022
Chris Boucher,bouchch01,81,200,1993,2018
James Bouknight,bouknja01,77,190,2000,2022
Ruben Boumtje-Boumtje,boumtru01,84,257,1978,2002
Cal Bowdler,bowdlca01,82,245,1977,2000
Bruce Bowen,bowenbr01,79,185,1971,1997
Brian Bowen,bowenbr02,78,190,1998,2020
Ryan Bowen,bowenry01,79,215,1975,2000
Anthony Bowie,bowiean01,78,190,1963,1989
Sam Bowie,bowiesa01,85,235,1961,1985
Ira Bowman,bowmair01,77,195,1973,2000
Ky Bowman,bowmaky01,73,187,1997,2020
Donnie Boyce,boycedo01,77,196,1973,1996
Earl Boykins,boykiea01,65,135,1976,1999
Cedric Bozeman,bozemce01,78,207,1983,2007
Craig Brackins,brackcr01,82,230,1987,2011
Avery Bradley,bradlav01,75,180,1990,2011
Michael Bradley,bradlmi01,82,245,1979,2002
Shawn Bradley,bradlsh01,90,235,1972,1994
Tony Bradley,bradlto01,82,248,1998,2018
Mark Bradtke,bradtma01,82,265,1968,1997
Marques Bragg,braggma01,80,230,1970,1996
Torraye Braggs,braggto01,80,245,1976,2004
A.J. Bramlett,bramlaj01,82,227,1977,2000
Adrian Branch,brancad01,79,185,1963,1987
Elton Brand,brandel01,80,275,1979,2000
Terrell Brandon,brandte01,71,180,1970,1992
Jarrell Brantley,brantja01,77,250,1996,2020
Ignas Brazdeikis,brazdig01,78,221,1999,2020
Tim Breaux,breauti01,79,215,1970,1995
J.R. Bremer,bremejr01,74,185,1980,2003
Randy Breuer,breuera01,87,230,1960,1984
Corey Brewer,breweco01,81,186,1986,2008
Jamison Brewer,breweja01,76,184,1980,2002
Ronnie Brewer,brewero02,79,220,1985,2007
Primož Brezec,brezepr01,86,252,1979,2002
Frank Brickowski,brickfr01,81,240,1959,1985
Mikal Bridges,bridgmi01,78,209,1996,2019
Miles Bridges,bridgmi02,78,225,1998,2019
Amida Brimah,brimaam01,82,230,1994,2021
Isaiah Briscoe,briscis01,75,215,1996,2019
Oshae Brissett,brissos01,79,210,1998,2020
Jon Brockman,brockjo01,79,255,1987,2010
Ryan Broekhoff,broekry01,78,215,1990,2019
Malcolm Brogdon,brogdma01,77,229,1992,2017
Aaron Brooks,brookaa01,72,161,1985,2008
Armoni Brooks,brookar01,75,195,1998,2021
Dillon Brooks,brookdi01,79,225,1996,2018
Kevin Brooks,brookke01,78,200,1969,1992
MarShon Brooks,brookma01,77,200,1989,2012
Scott Brooks,brooksc01,71,165,1965,1989
Andre Brown,brownan01,81,245,1981,2007
Anthony Brown,brownan02,79,210,1992,2016
Bobby Brown,brownbo02,74,175,1984,2009
Bruce Brown,brownbr01,76,202,1996,2019
Chucky Brown,brownch01,79,214,1968,1990
Charlie Brown Jr.,brownch02,78,199,1997,2020
Chaundee Brown Jr.,brownch05,77,215,1998,2022
Damone Brown,brownda02,81,200,1979,2002
Dee Brown,brownde01,73,160,1968,1991
Devin Brown,brownde02,77,220,1978,2003
Dee Brown,brownde03,72,185,1984,2007
Derrick Brown,brownde04,79,225,1987,2010
Ernest Brown,browner01,84,244,1979,2002
Gerald Brown,brownge02,76,210,1975,1999
Greg Brown III,browngr01,81,205,2001,2022
Jabari Brown,brownja01,76,215,1992,2015
Jaylen Brown,brownja02,78,223,1996,2017
Kedrick Brown,brownke01,79,222,1981,2002
Kwame Brown,brownkw01,83,270,1982,2002
Lorenzo Brown,brownlo01,77,189,1990,2014
Marcus Brown,brownma01,75,185,1974,1997
Markel Brown,brownma02,75,190,1992,2015
Mike Brown,brownmi01,81,257,1963,1987
Moses Brown,brownmo01,86,245,1999,2020
Myron Brown,brownmy01,75,180,1969,1992
P.J. Brown,brownpj01,83,225,1969,1994
Raymond Brown,brownra01,80,220,1965,1990
Randy Brown,brownra02,74,190,1968,1992
Shannon Brown,brownsh01,76,205,1985,2007
Sterling Brown,brownst02,77,219,1995,2018
Tierre Brown,brownti01,74,189,1979,2002
Tony Brown,brownto01,78,185,1960,1985
Troy Brown Jr.,browntr01,78,215,1999,2019
Stanley Brundy,brundst01,78,210,1967,1990
Jalen Brunson,brunsja01,73,190,1996,2019
Rick Brunson,brunsri01,76,190,1972,1998
Nicolás Brussino,brussni01,79,195,1993,2017
Elijah Bryant,bryanel01,77,210,1995,2021
Kobe Bryant,bryanko01,78,212,1978,1997
Mark Bryant,bryanma01,81,245,1965,1989
Thomas Bryant,bryanth01,82,248,1997,2018
Torgeir Bryn,brynto01,81,250,1964,1990
Shaq Buchanan,buchash01,75,190,1997,2022
Greg Buckner,buckngr01,76,210,1976,2000
Steve Bucknall,bucknst01,78,215,1966,1990
Chase Budinger,budinch01,79,209,1988,2010
Jud Buechler,buechju01,78,220,1968,1991
Rodney Buford,buforro01,77,189,1977,2000
Matt Bullard,bullama01,82,215,1967,1991
Reggie Bullock,bullore01,78,205,1991,2014
Pat Burke,burkepa01,83,250,1973,2003
Trey Burke,burketr01,72,185,1992,2014
Alec Burks,burksal01,78,214,1991,2012
Antonio Burks,burksan01,73,200,1980,2005
Kevin Burleson,burleke01,75,205,1979,2006
Evers Burns,burnsev01,80,260,1971,1994
Scott Burrell,burresc01,79,218,1971,1994
Junior Burrough,burroju01,80,242,1973,1996
Deonte Burton,burtode02,76,240,1994,2019
Willie Burton,burtowi01,80,210,1968,1991
Steve Burtt,burttst01,74,185,1962,1985
Caron Butler,butleca01,79,228,1980,2003
Greg Butler,butlegr01,83,240,1966,1989
Jackie Butler,butleja01,82,250,1985,2005
Jared Butler,butleja02,75,195,2000,2022
Jimmy Butler,butleji01,79,230,1989,2012
Mitchell Butler,butlemi02,77,210,1970,1994
Rasual Butler,butlera01,79,215,1979,2003
Dwight Buycks,buyckdw01,75,190,1989,2014
Derrick Byars,byarsde01,79,220,1984,2012
Andrew Bynum,bynuman01,84,285,1987,2006
Will Bynum,bynumwi01,72,185,1983,2006
Žarko Čabarkapa,cabarza01,83,235,1981,2004
Bruno Caboclo,cabocbr01,81,218,1995,2015
Devontae Cacok,cacokde01,79,240,1996,2020
Jason Caffey,caffeja01,80,255,1973,1996
Michael Cage,cagemi01,81,224,1962,1985
Nick Calathes,calatni01,78,213,1989,2014
José Calderón,caldejo01,75,200,1981,2006
Adrian Caldwell,caldwad01,80,265,1966,1990
Kentavious Caldwell-Pope,caldwke01,77,204,1993,2014
Demetrius Calip,calipde01,73,165,1969,1992
Rick Calloway,callori01,78,180,1966,1991
Dexter Cambridge,cambrde01,79,224,1970,1993
Marcus Camby,cambyma01,83,220,1974,1997
Facundo Campazzo,campafa01,70,195,1991,2021
Elden Campbell,campbel01,83,215,1968,1991
Tony Campbell,campbto01,79,215,1962,1985
Isaiah Canaan,canaais01,72,201,1991,2014
Vlatko Čančar,cancavl01,80,236,1997,2020
Devin Cannady,cannade01,74,183,1996,2021
