name,pID,totAllStar,nbaAllStar,abaAllStar
Paul Westphal,westppa01,5,5,0
Vin Baker,bakervi01,4,4,0
Walt Bellamy,bellawa01,4,4,0
Otis Birdsong,birdsot01,4,4,0
Rolando Blackman,blackro01,4,4,0
Ron Boone,boonero01,4,0,4
Roger Brown,brownro01,4,0,4
Joe Caldwell,caldwjo01,4,2,2
Tom Chambers,chambto01,4,4,0
Maurice Cheeks,cheekma01,4,4,0
Doug Collins,collido01,4,4,0
DeMarcus Cousins,couside01,4,4,0
Bob Dandridge,dandrbo01,4,4,0
Bob Davies,daviebo01,4,4,0
Dick Garmaker,garmadi01,4,4,0
Draymond Green,greendr01,4,4,0
Johnny Green,greenjo01,4,4,0
Anfernee Hardaway,hardaan01,4,4,0
Mel Hutchins,hutchme01,4,4,0
Warren Jabali,jabalwa01,4,0,4
Nikola Jokić,jokicni01,4,4,0
Larry Jones,jonesla01,4,0,4
Bernard King,kingbe01,4,4,0
Bill Laimbeer,laimbbi01,4,4,0
Clyde Lovellette,lovelcl01,4,4,0
Shawn Marion,mariosh01,4,4,0
George Mikan,mikange01,4,4,0
Paul Millsap,millspa01,4,4,0
Earl Monroe,monroea01,4,4,0
Willie Naulls,naullwi01,4,4,0
Bob Netolicky,netolbo01,4,0,4
Jim Pollard,pollaji01,4,4,0
Mark Price,pricema01,4,4,0
Micheal Ray Richardson,richami01,4,4,0
Arnie Risen,risenar01,4,4,0
Red Robbins,robbire01,4,0,4
Alvin Robertson,roberal01,4,4,0
Guy Rodgers,rodgegu01,4,4,0
Rajon Rondo,rondora01,4,4,0
Ralph Sampson,sampsra01,4,4,0
Latrell Sprewell,sprewla01,4,4,0
Kemba Walker,walkeke02,4,4,0
Ben Wallace,wallabe01,4,4,0
Rasheed Wallace,wallara01,4,4,0
Sidney Wicks,wickssi01,4,4,0
Mark Aguirre,aguirma01,3,3,0
Gilbert Arenas,arenagi01,3,3,0
Bradley Beal,bealbr01,3,3,0
John Beasley,beasljo01,3,0,3
Devin Booker,bookede01,3,3,0
Bill Bridges,bridgbi01,3,3,0
Larry Brown,brownla01,3,0,3
Darel Carrier,carrida01,3,0,3
Phil Chenier,cheniph01,3,3,0
Glen Combs,combsgl01,3,0,3
Terry Dischinger,dischte01,3,3,0
Luka Dončić,doncilu01,3,3,0
Steve Francis,francst01,3,3,0
Marc Gasol,gasolma01,3,3,0
Rudy Gobert,goberru01,3,3,0
Richard Hamilton,hamilri01,3,3,0
Kevin Johnson,johnske02,3,3,0
Stew Johnson,johnsst01,3,0,3
Eddie Jones,jonesed02,3,3,0
Steve Jones,jonesst01,3,0,3
Bob Kauffman,kauffbo01,3,3,0
Red Kerr,kerrre01,3,3,0
Billy Knight,knighbi01,3,2,1
Freddie Lewis,lewisfr02,3,0,3
Bob Love,lovebo01,3,3,0
Dan Majerle,majerda01,3,3,0
Bill Melchionni,melchbi01,3,0,3
Khris Middleton,middlkh01,3,3,0
Donovan Mitchell,mitchdo01,3,3,0
Doug Moe,moedo01,3,0,3
Jeff Mullins,mullije01,3,3,0
Larry Nance,nancela01,3,3,0
